Timestamp,"Are you familiar with the term ""food insecurity?""",***NON-FIRST YEARS: Approximately how much $ were you left with in your top up meal plan account at the end of first year?,"***NON-FIRST YEARS: If you have any money left over in your top up account, approximately how much do you think you have?",***FIRST YEARS: Approximately how much $ are you left with in your top up meal plan account right now,"If given the option to donate the remaining $ to your food insecure peers at Western, how much would you donate?",***FACULTY/STAFF: Approximately how much $ are you left with in your top up meal plan account right now,Food_Insecurity_Familiarity,Upper_Year_Dollars_Remaining_At_End_Of_First_Year,Upper_Year_Dollars_Remaining_Now,First_Year_Dollar_Remaining_Now,Donation_Percentage,Faculty_Staff_Dollar_Remaining_Now,Donation_Amount
2024-03-01 12:14:06,I have heard of it,Finished it in residence,$50 - $100,Finished it in residence,5% of remaining funds,,I have heard of it,0.0,75.0,0.0,0.05,,0.0
2024-03-01 13:22:46,Yes I know what it is,$50 - $200,$10 - $50,$50 - $200,100% - Drain the account and donate all of it,,Yes I know what it is,125.0,30.0,125.0,1.0,,125.0
2024-03-01 13:31:23,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-03-01 13:31:24,Yes I know what it is,<$50,Less than $10,,20% - 50% of remaining funds,,Yes I know what it is,25.0,5.0,,0.35,,
2024-03-01 13:31:28,I have heard of it,$200 - $1000,Less than $10,,10% of remaining funds,,I have heard of it,600.0,5.0,,0.1,,
2024-03-01 13:31:30,Yes I know what it is,$50 - $200,Less than $10,,15% of remaining funds,,Yes I know what it is,125.0,5.0,,0.15,,
2024-03-01 13:31:35,I have heard of it,Finished it in residence,Less than $10,,0,,I have heard of it,0.0,5.0,,,,
2024-03-01 13:31:42,Yes I know what it is,Finished it in residence,Less than $10,,50% - 90%,,Yes I know what it is,0.0,5.0,,0.7,,
2024-03-01 14:09:07,Yes I know what it is,Finished it in residence,Less than $10,,10% of remaining funds,,Yes I know what it is,0.0,5.0,,0.1,,
2024-03-01 14:22:14,Yes I know what it is,$200 - $1000,$50 - $100,,50% - 90%,,Yes I know what it is,600.0,75.0,,0.7,,
2024-03-01 14:30:59,Yes I know what it is,$200 - $1000,Less than $10,$50 - $200,100% - Drain the account and donate all of it,,Yes I know what it is,600.0,5.0,125.0,1.0,,125.0
2024-03-01 14:58:41,Yes I know what it is,$50 - $200,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,125.0,5.0,,1.0,,
2024-03-01 15:44:18,Yes I know what it is,$200 - $1000,,,10% of remaining funds,,Yes I know what it is,600.0,,,0.1,,
2024-03-01 16:13:17,Yes I know what it is,$200 - $1000,$100 - $1000,>$1000 (greater than $1000),15% of remaining funds,,Yes I know what it is,600.0,550.0,1250.0,0.15,,187.5
2024-03-01 16:13:54,No clue,$50 - $200,$10 - $50,$50 - $200,20% - 50% of remaining funds,,No clue,125.0,30.0,125.0,0.35,,43.75
2024-03-01 16:16:37,Yes I know what it is,$50 - $200,Less than $10,,15% of remaining funds,,Yes I know what it is,125.0,5.0,,0.15,,
2024-03-01 16:33:00,No clue,Finished it in residence,,,0,,No clue,0.0,,,,,
2024-03-01 16:45:46,Yes I know what it is,Finished it in residence,,,20% - 50% of remaining funds,,Yes I know what it is,0.0,,,0.35,,
2024-03-01 17:04:41,Yes I know what it is,Finished it in residence,Less than $10,,10% of remaining funds,,Yes I know what it is,0.0,5.0,,0.1,,
2024-03-01 17:26:18,I have heard of it,,Less than $10,,100% - Drain the account and donate all of it,,I have heard of it,,5.0,,1.0,,
2024-03-01 17:27:31,Yes I know what it is,$50 - $200,$50 - $100,,100% - Drain the account and donate all of it,,Yes I know what it is,125.0,75.0,,1.0,,
2024-03-01 18:10:06,Yes I know what it is,$200 - $1000,Less than $10,,10% of remaining funds,,Yes I know what it is,600.0,5.0,,0.1,,
2024-03-01 19:47:20,I have heard of it,$200 - $1000,Less than $10,,10% of remaining funds,,I have heard of it,600.0,5.0,,0.1,,
2024-03-01 20:16:06,Yes I know what it is,>$1000 (greater than $1000),>$1000 (greater than $1000),,0,,Yes I know what it is,1250.0,1250.0,,,,
2024-03-01 20:25:46,Yes I know what it is,<$50,Less than $10,,15% of remaining funds,,Yes I know what it is,25.0,5.0,,0.15,,
2024-03-01 22:16:02,No clue,$50 - $200,Less than $10,,50% - 90%,,No clue,125.0,5.0,,0.7,,
2024-03-02 00:11:09,Yes I know what it is,$50 - $200,Less than $10,,15% of remaining funds,,Yes I know what it is,125.0,5.0,,0.15,,
2024-03-02 13:05:42,Yes I know what it is,$200 - $1000,$100 - $1000,,15% of remaining funds,,Yes I know what it is,600.0,550.0,,0.15,,
2024-03-02 19:09:31,Yes I know what it is,Finished it in residence,Less than $10,,5% of remaining funds,,Yes I know what it is,0.0,5.0,,0.05,,
2024-03-02 20:13:33,Yes I know what it is,$50 - $200,$10 - $50,,100% - Drain the account and donate all of it,,Yes I know what it is,125.0,30.0,,1.0,,
2024-03-02 21:11:30,Yes I know what it is,>$1000 (greater than $1000),$100 - $1000,,20% - 50% of remaining funds,,Yes I know what it is,1250.0,550.0,,0.35,,
2024-03-02 21:56:48,I have heard of it,>$1000 (greater than $1000),Less than $10,,100% - Drain the account and donate all of it,,I have heard of it,1250.0,5.0,,1.0,,
2024-03-03 14:59:14,Yes I know what it is,$200 - $1000,$100 - $1000,,10% of remaining funds,,Yes I know what it is,600.0,550.0,,0.1,,
2024-03-03 16:25:06,Yes I know what it is,,,$50 - $200,0,,Yes I know what it is,,,125.0,,,
2024-03-03 16:33:40,Yes I know what it is,$200 - $1000,$100 - $1000,,5% of remaining funds,,Yes I know what it is,600.0,550.0,,0.05,,
2024-03-03 16:34:12,Yes I know what it is,>$1000 (greater than $1000),,,5% of remaining funds,,Yes I know what it is,1250.0,,,0.05,,
2024-03-03 16:37:58,I have heard of it,Finished it in residence,$10 - $50,,10% of remaining funds,,I have heard of it,0.0,30.0,,0.1,,
2024-03-03 16:40:37,Yes I know what it is,Finished it in residence,Less than $10,,50% - 90%,,Yes I know what it is,0.0,5.0,,0.7,,
2024-03-03 16:50:25,Yes I know what it is,$50 - $200,Less than $10,,10% of remaining funds,,Yes I know what it is,125.0,5.0,,0.1,,
2024-03-03 17:49:27,Yes I know what it is,>$1000 (greater than $1000),$100 - $1000,,10% of remaining funds,,Yes I know what it is,1250.0,550.0,,0.1,,
2024-03-03 17:55:20,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,0,,Yes I know what it is,0.0,5.0,0.0,,,
2024-03-03 17:59:27,Yes I know what it is,Finished it in residence,,,15% of remaining funds,,Yes I know what it is,0.0,,,0.15,,
2024-03-03 18:01:35,I have heard of it,$50 - $200,$10 - $50,,15% of remaining funds,,I have heard of it,125.0,30.0,,0.15,,
2024-03-03 19:56:28,Yes I know what it is,$50 - $200,$10 - $50,,10% of remaining funds,,Yes I know what it is,125.0,30.0,,0.1,,
2024-03-03 20:09:42,Yes I know what it is,<$50,Less than $10,,10% of remaining funds,,Yes I know what it is,25.0,5.0,,0.1,,
2024-03-03 22:01:26,Yes I know what it is,<$50,Less than $10,,0,,Yes I know what it is,25.0,5.0,,,,
2024-03-03 22:22:03,Yes I know what it is,$50 - $200,,,10% of remaining funds,,Yes I know what it is,125.0,,,0.1,,
2024-03-04 14:11:01,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,20% - 50% of remaining funds,,Yes I know what it is,0.0,5.0,0.0,0.35,,0.0
2024-03-04 14:11:01,Yes I know what it is,,,,50% - 90%,,Yes I know what it is,,,,0.7,,
2024-03-04 14:11:15,Yes I know what it is,,,,100% - Drain the account and donate all of it,,Yes I know what it is,,,,1.0,,
2024-03-04 14:11:17,Yes I know what it is,$50 - $200,$50 - $100,,15% of remaining funds,,Yes I know what it is,125.0,75.0,,0.15,,
2024-03-04 14:11:19,Yes I know what it is,$50 - $200,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,125.0,5.0,,1.0,,
2024-03-04 14:11:22,Yes I know what it is,<$50,$50 - $100,$50 - $200,10% of remaining funds,,Yes I know what it is,25.0,75.0,125.0,0.1,,12.5
2024-03-04 14:11:27,Yes I know what it is,<$50,$10 - $50,Finished it in residence,5% of remaining funds,,Yes I know what it is,25.0,30.0,0.0,0.05,,0.0
2024-03-04 14:11:31,Yes I know what it is,>$1000 (greater than $1000),Less than $10,Finished it in residence,10% of remaining funds,,Yes I know what it is,1250.0,5.0,0.0,0.1,,0.0
2024-03-04 14:11:40,Yes I know what it is,<$50,Less than $10,<$50,20% - 50% of remaining funds,,Yes I know what it is,25.0,5.0,25.0,0.35,,8.75
2024-03-04 14:11:52,Yes I know what it is,,,,100% - Drain the account and donate all of it,,Yes I know what it is,,,,1.0,,
2024-03-04 14:11:56,Yes I know what it is,$50 - $200,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,125.0,5.0,,1.0,,
2024-03-04 14:11:56,I have heard of it,$50 - $200,$10 - $50,$50 - $200,100% - Drain the account and donate all of it,,I have heard of it,125.0,30.0,125.0,1.0,,125.0
2024-03-04 14:11:59,Yes I know what it is,$50 - $200,$10 - $50,,20% - 50% of remaining funds,,Yes I know what it is,125.0,30.0,,0.35,,
2024-03-04 14:12:01,Yes I know what it is,<$50,,,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,,,1.0,,
2024-03-04 14:12:02,Yes I know what it is,>$1000 (greater than $1000),Less than $10,,5% of remaining funds,,Yes I know what it is,1250.0,5.0,,0.05,,
2024-03-04 14:12:05,Yes I know what it is,$50 - $200,Less than $10,,10% of remaining funds,,Yes I know what it is,125.0,5.0,,0.1,,
2024-03-04 14:12:09,Yes I know what it is,$200 - $1000,Less than $10,,15% of remaining funds,,Yes I know what it is,600.0,5.0,,0.15,,
2024-03-04 14:12:09,Yes I know what it is,$200 - $1000,,,20% - 50% of remaining funds,,Yes I know what it is,600.0,,,0.35,,
2024-03-04 14:12:12,Yes I know what it is,$200 - $1000,$50 - $100,,20% - 50% of remaining funds,,Yes I know what it is,600.0,75.0,,0.35,,
2024-03-04 14:12:15,Yes I know what it is,,,,100% - Drain the account and donate all of it,,Yes I know what it is,,,,1.0,,
2024-03-04 14:12:17,Yes I know what it is,<$50,$50 - $100,<$50,50% - 90%,,Yes I know what it is,25.0,75.0,25.0,0.7,,17.5
2024-03-04 14:12:18,Yes I know what it is,>$1000 (greater than $1000),Less than $10,,50% - 90%,,Yes I know what it is,1250.0,5.0,,0.7,,
2024-03-04 14:12:23,No clue,<$50,Less than $10,<$50,5% of remaining funds,,No clue,25.0,5.0,25.0,0.05,,1.25
2024-03-04 14:12:26,Yes I know what it is,Finished it in residence,$10 - $50,,20% - 50% of remaining funds,,Yes I know what it is,0.0,30.0,,0.35,,
2024-03-04 14:12:27,Yes I know what it is,$50 - $200,Less than $10,,15% of remaining funds,,Yes I know what it is,125.0,5.0,,0.15,,
2024-03-04 14:12:29,No clue,<$50,Less than $10,,5% of remaining funds,,No clue,25.0,5.0,,0.05,,
2024-03-04 14:12:32,Yes I know what it is,<$50,Less than $10,,15% of remaining funds,,Yes I know what it is,25.0,5.0,,0.15,,
2024-03-04 14:12:59,I have heard of it,$50 - $200,$10 - $50,,100% - Drain the account and donate all of it,,I have heard of it,125.0,30.0,,1.0,,
2024-03-04 14:13:06,Yes I know what it is,$50 - $200,Less than $10,<$50,5% of remaining funds,,Yes I know what it is,125.0,5.0,25.0,0.05,,1.25
2024-03-04 14:13:10,Yes I know what it is,<$50,$10 - $50,,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,30.0,,1.0,,
2024-03-04 14:13:25,I have heard of it,Finished it in residence,Less than $10,Finished it in residence,100% - Drain the account and donate all of it,,I have heard of it,0.0,5.0,0.0,1.0,,0.0
2024-03-04 14:13:48,Yes I know what it is,$50 - $200,Less than $10,,10% of remaining funds,,Yes I know what it is,125.0,5.0,,0.1,,
2024-03-04 15:52:23,Yes I know what it is,Finished it in residence,,,20% - 50% of remaining funds,,Yes I know what it is,0.0,,,0.35,,
2024-03-04 15:52:24,Yes I know what it is,Finished it in residence,Less than $10,,10% of remaining funds,,Yes I know what it is,0.0,5.0,,0.1,,
2024-03-04 15:52:29,Yes I know what it is,,,,20% - 50% of remaining funds,,Yes I know what it is,,,,0.35,,
2024-03-04 15:52:36,Yes I know what it is,Finished it in residence,Less than $10,,10% of remaining funds,,Yes I know what it is,0.0,5.0,,0.1,,
2024-03-04 15:52:37,Yes I know what it is,,,,100% - Drain the account and donate all of it,,Yes I know what it is,,,,1.0,,
2024-03-04 15:52:39,Yes I know what it is,$200 - $1000,$10 - $50,,,,Yes I know what it is,600.0,30.0,,,,
2024-03-04 15:52:40,Yes I know what it is,,,,20% - 50% of remaining funds,,Yes I know what it is,,,,0.35,,
2024-03-04 15:52:40,I have heard of it,<$50,$10 - $50,,10% of remaining funds,,I have heard of it,25.0,30.0,,0.1,,
2024-03-04 15:52:40,Yes I know what it is,$200 - $1000,Less than $10,,15% of remaining funds,,Yes I know what it is,600.0,5.0,,0.15,,
2024-03-04 15:52:41,Yes I know what it is,Finished it in residence,Less than $10,,10% of remaining funds,,Yes I know what it is,0.0,5.0,,0.1,,
2024-03-04 15:52:41,Yes I know what it is,>$1000 (greater than $1000),,,5% of remaining funds,,Yes I know what it is,1250.0,,,0.05,,
2024-03-04 15:52:41,Yes I know what it is,$200 - $1000,$10 - $50,,100% - Drain the account and donate all of it,,Yes I know what it is,600.0,30.0,,1.0,,
2024-03-04 15:52:42,Yes I know what it is,$200 - $1000,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,600.0,5.0,,1.0,,
2024-03-04 15:52:44,Yes I know what it is,$200 - $1000,$10 - $50,,20% - 50% of remaining funds,,Yes I know what it is,600.0,30.0,,0.35,,
2024-03-04 15:52:44,Yes I know what it is,,,,10% of remaining funds,,Yes I know what it is,,,,0.1,,
2024-03-04 15:52:45,Yes I know what it is,$50 - $200,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,125.0,5.0,,1.0,,
2024-03-04 15:52:46,Yes I know what it is,<$50,Less than $10,,20% - 50% of remaining funds,,Yes I know what it is,25.0,5.0,,0.35,,
2024-03-04 15:52:46,Yes I know what it is,$200 - $1000,Less than $10,,10% of remaining funds,,Yes I know what it is,600.0,5.0,,0.1,,
2024-03-04 15:52:47,Yes I know what it is,$200 - $1000,Less than $10,<$50,5% of remaining funds,,Yes I know what it is,600.0,5.0,25.0,0.05,,1.25
2024-03-04 15:52:49,Yes I know what it is,$200 - $1000,$10 - $50,,15% of remaining funds,,Yes I know what it is,600.0,30.0,,0.15,,
2024-03-04 15:52:49,Yes I know what it is,$200 - $1000,Less than $10,,15% of remaining funds,,Yes I know what it is,600.0,5.0,,0.15,,
2024-03-04 15:52:50,Yes I know what it is,Finished it in residence,$10 - $50,,20% - 50% of remaining funds,,Yes I know what it is,0.0,30.0,,0.35,,
2024-03-04 15:52:51,Yes I know what it is,$200 - $1000,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,600.0,5.0,,1.0,,
2024-03-04 15:52:51,Yes I know what it is,$50 - $200,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,125.0,5.0,,1.0,,
2024-03-04 15:52:54,Yes I know what it is,<$50,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,5.0,,1.0,,
2024-03-04 15:52:56,I have heard of it,$200 - $1000,$100 - $1000,,5% of remaining funds,,I have heard of it,600.0,550.0,,0.05,,
2024-03-04 15:52:57,Yes I know what it is,$200 - $1000,Less than $10,Finished it in residence,10% of remaining funds,,Yes I know what it is,600.0,5.0,0.0,0.1,,0.0
2024-03-04 15:52:59,Yes I know what it is,<$50,Less than $10,<$50,20% - 50% of remaining funds,,Yes I know what it is,25.0,5.0,25.0,0.35,,8.75
2024-03-04 15:52:59,No clue,Finished it in residence,Less than $10,<$50,10% of remaining funds,,No clue,0.0,5.0,25.0,0.1,,2.5
2024-03-04 15:53:00,Yes I know what it is,$50 - $200,$100 - $1000,,10% of remaining funds,,Yes I know what it is,125.0,550.0,,0.1,,
2024-03-04 15:53:01,I have heard of it,<$50,$50 - $100,,20% - 50% of remaining funds,,I have heard of it,25.0,75.0,,0.35,,
2024-03-04 15:53:07,Yes I know what it is,,Less than $10,,15% of remaining funds,,Yes I know what it is,,5.0,,0.15,,
2024-03-04 15:53:15,Yes I know what it is,,Less than $10,,50% - 90%,,Yes I know what it is,,5.0,,0.7,,
2024-03-04 15:53:16,Yes I know what it is,$200 - $1000,$10 - $50,,15% of remaining funds,,Yes I know what it is,600.0,30.0,,0.15,,
2024-03-04 15:53:16,Yes I know what it is,$200 - $1000,$10 - $50,,100% - Drain the account and donate all of it,,Yes I know what it is,600.0,30.0,,1.0,,
2024-03-04 15:53:19,Yes I know what it is,$50 - $200,,,20% - 50% of remaining funds,,Yes I know what it is,125.0,,,0.35,,
2024-03-04 15:53:20,I have heard of it,$50 - $200,Less than $10,Finished it in residence,0,,I have heard of it,125.0,5.0,0.0,,,
2024-03-04 15:53:21,Yes I know what it is,$200 - $1000,Less than $10,,5% of remaining funds,,Yes I know what it is,600.0,5.0,,0.05,,
2024-03-04 15:53:23,I have heard of it,$200 - $1000,$100 - $1000,<$50,50% - 90%,,I have heard of it,600.0,550.0,25.0,0.7,,17.5
2024-03-04 15:53:37,Yes I know what it is,,,,15% of remaining funds,,Yes I know what it is,,,,0.15,,
2024-03-04 15:54:13,Yes I know what it is,$50 - $200,$50 - $100,$50 - $200,20% - 50% of remaining funds,,Yes I know what it is,125.0,75.0,125.0,0.35,,43.75
2024-03-04 19:31:00,Yes I know what it is,,Less than $10,,10% of remaining funds,,Yes I know what it is,,5.0,,0.1,,
2024-03-05 08:33:32,Yes I know what it is,<$50,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,5.0,,1.0,,
2024-03-05 14:14:18,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,,,Yes I know what it is,0.0,5.0,0.0,,,
2024-03-05 14:14:26,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,15% of remaining funds,,Yes I know what it is,0.0,5.0,0.0,0.15,,0.0
2024-03-05 14:14:36,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,0.0,1.0,,0.0
2024-03-05 14:14:38,Yes I know what it is,Finished it in residence,,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,,,1.0,,
2024-03-05 14:14:40,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,0.0,1.0,,0.0
2024-03-05 14:14:41,Yes I know what it is,$50 - $200,Less than $10,,,,Yes I know what it is,125.0,5.0,,,,
2024-03-05 14:14:42,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,10% of remaining funds,,Yes I know what it is,0.0,5.0,0.0,0.1,,0.0
2024-03-05 14:14:44,Yes I know what it is,$50 - $200,,,0,,Yes I know what it is,125.0,,,,,
2024-03-05 14:14:52,Yes I know what it is,>$1000 (greater than $1000),,Finished it in residence,10% of remaining funds,,Yes I know what it is,1250.0,,0.0,0.1,,0.0
2024-03-05 14:14:57,Yes I know what it is,>$1000 (greater than $1000),Less than $10,,0,,Yes I know what it is,1250.0,5.0,,,,
2024-03-05 14:14:58,Yes I know what it is,>$1000 (greater than $1000),Less than $10,,10% of remaining funds,,Yes I know what it is,1250.0,5.0,,0.1,,
2024-03-05 14:14:58,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,0.0,1.0,,0.0
2024-03-05 14:14:58,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,0.0,1.0,,0.0
2024-03-05 14:14:59,Yes I know what it is,$50 - $200,$10 - $50,,15% of remaining funds,,Yes I know what it is,125.0,30.0,,0.15,,
2024-03-05 14:15:02,I have heard of it,$200 - $1000,Less than $10,<$50,100% - Drain the account and donate all of it,,I have heard of it,600.0,5.0,25.0,1.0,,25.0
2024-03-05 14:15:03,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-03-05 14:15:03,No clue,$200 - $1000,Less than $10,,0,,No clue,600.0,5.0,,,,
2024-03-05 14:15:05,I have heard of it,<$50,Less than $10,,100% - Drain the account and donate all of it,,I have heard of it,25.0,5.0,,1.0,,
2024-03-05 14:15:07,Yes I know what it is,<$50,,,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,,,1.0,,
2024-03-05 14:15:13,I have heard of it,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,I have heard of it,0.0,5.0,,1.0,,
2024-03-05 14:15:18,Yes I know what it is,Finished it in residence,,,0,,Yes I know what it is,0.0,,,,,
2024-03-05 14:15:18,Yes I know what it is,<$50,Less than $10,,10% of remaining funds,,Yes I know what it is,25.0,5.0,,0.1,,
2024-03-05 14:15:19,Yes I know what it is,$50 - $200,Less than $10,,10% of remaining funds,,Yes I know what it is,125.0,5.0,,0.1,,
2024-03-05 14:15:20,Yes I know what it is,$200 - $1000,Less than $10,,10% of remaining funds,,Yes I know what it is,600.0,5.0,,0.1,,
2024-03-05 14:15:22,Yes I know what it is,Finished it in residence,Less than $10,,5% of remaining funds,,Yes I know what it is,0.0,5.0,,0.05,,
2024-03-05 14:15:23,Yes I know what it is,$200 - $1000,Less than $10,<$50,5% of remaining funds,,Yes I know what it is,600.0,5.0,25.0,0.05,,1.25
2024-03-05 14:15:26,Yes I know what it is,$200 - $1000,Less than $10,Finished it in residence,20% - 50% of remaining funds,,Yes I know what it is,600.0,5.0,0.0,0.35,,0.0
2024-03-05 14:15:46,I have heard of it,Finished it in residence,,,5% of remaining funds,,I have heard of it,0.0,,,0.05,,
2024-03-05 14:15:58,I have heard of it,Finished it in residence,Less than $10,Finished it in residence,100% - Drain the account and donate all of it,,I have heard of it,0.0,5.0,0.0,1.0,,0.0
2024-03-05 14:16:25,Yes I know what it is,$50 - $200,Less than $10,,0,,Yes I know what it is,125.0,5.0,,,,
2024-03-05 15:54:04,Yes I know what it is,Finished it in residence,,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,,,1.0,,
2024-03-05 15:54:05,Yes I know what it is,<$50,Less than $10,,50% - 90%,,Yes I know what it is,25.0,5.0,,0.7,,
2024-03-05 15:54:11,Yes I know what it is,Finished it in residence,Less than $10,,10% of remaining funds,,Yes I know what it is,0.0,5.0,,0.1,,
2024-03-05 15:54:14,Yes I know what it is,>$1000 (greater than $1000),>$1000 (greater than $1000),>$1000 (greater than $1000),0,,Yes I know what it is,1250.0,1250.0,1250.0,,,
2024-03-05 15:54:14,No clue,Finished it in residence,Less than $10,Finished it in residence,0,,No clue,0.0,5.0,0.0,,,
2024-03-05 15:54:15,Yes I know what it is,<$50,Less than $10,<$50,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,5.0,25.0,1.0,,25.0
2024-03-05 15:54:23,I have heard of it,<$50,Less than $10,Finished it in residence,0,,I have heard of it,25.0,5.0,0.0,,,
2024-03-05 15:54:23,Yes I know what it is,$50 - $200,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,125.0,5.0,,1.0,,
2024-03-05 15:54:24,I have heard of it,,,,20% - 50% of remaining funds,,I have heard of it,,,,0.35,,
2024-03-05 15:54:26,I have heard of it,Finished it in residence,Less than $10,,5% of remaining funds,,I have heard of it,0.0,5.0,,0.05,,
2024-03-05 15:54:34,Yes I know what it is,Finished it in residence,Less than $10,Finished it in residence,0,,Yes I know what it is,0.0,5.0,0.0,,,
2024-03-05 15:54:35,No clue,<$50,$10 - $50,,100% - Drain the account and donate all of it,,No clue,25.0,30.0,,1.0,,
2024-03-05 15:54:38,Yes I know what it is,$200 - $1000,$10 - $50,,50% - 90%,,Yes I know what it is,600.0,30.0,,0.7,,
2024-03-05 15:54:46,No clue,Finished it in residence,Less than $10,Finished it in residence,5% of remaining funds,,No clue,0.0,5.0,0.0,0.05,,0.0
2024-03-05 15:54:49,Yes I know what it is,$200 - $1000,Less than $10,<$50,0,,Yes I know what it is,600.0,5.0,25.0,,,
2024-03-05 15:54:54,Yes I know what it is,$200 - $1000,Less than $10,<$50,5% of remaining funds,,Yes I know what it is,600.0,5.0,25.0,0.05,,1.25
2024-03-05 15:55:02,Yes I know what it is,$50 - $200,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,125.0,5.0,,1.0,,
2024-03-05 15:55:02,Yes I know what it is,Finished it in residence,Less than $10,,0,,Yes I know what it is,0.0,5.0,,,,
2024-03-05 15:55:04,Yes I know what it is,<$50,$10 - $50,,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,30.0,,1.0,,
2024-03-05 15:55:13,Yes I know what it is,Finished it in residence,Less than $10,,20% - 50% of remaining funds,,Yes I know what it is,0.0,5.0,,0.35,,
2024-03-05 15:55:33,Yes I know what it is,$200 - $1000,Less than $10,,10% of remaining funds,,Yes I know what it is,600.0,5.0,,0.1,,
2024-03-05 15:55:35,Yes I know what it is,Finished it in residence,Less than $10,,,,Yes I know what it is,0.0,5.0,,,,
2024-03-05 15:55:50,Yes I know what it is,>$1000 (greater than $1000),Less than $10,,5% of remaining funds,,Yes I know what it is,1250.0,5.0,,0.05,,
2024-03-05 17:00:14,Yes I know what it is,Finished it in residence,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,0.0,5.0,,1.0,,
2024-03-05 17:05:24,Yes I know what it is,$200 - $1000,$100 - $1000,,50% - 90%,,Yes I know what it is,600.0,550.0,,0.7,,
2024-03-05 21:06:58,Yes I know what it is,$200 - $1000,Less than $10,,15% of remaining funds,,Yes I know what it is,600.0,5.0,,0.15,,
2024-03-06 02:15:08,I have heard of it,$50 - $200,$50 - $100,$50 - $200,0,,I have heard of it,125.0,75.0,125.0,,,
2024-03-06 08:29:15,Yes I know what it is,$200 - $1000,$100 - $1000,$200 - $1000,0,,Yes I know what it is,600.0,550.0,600.0,,,
2024-03-06 09:03:41,Yes I know what it is,,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,,5.0,,1.0,,
2024-03-06 15:25:04,No clue,,,$200 - $1000,0,,No clue,,,600.0,,,
2024-03-06 18:50:24,Yes I know what it is,$200 - $1000,,,20% - 50% of remaining funds,,Yes I know what it is,600.0,,,0.35,,
2024-03-06 20:28:27,Yes I know what it is,<$50,Less than $10,,5% of remaining funds,,Yes I know what it is,25.0,5.0,,0.05,,
2024-03-06 20:28:29,Yes I know what it is,,,Finished it in residence,20% - 50% of remaining funds,,Yes I know what it is,,,0.0,0.35,,0.0
2024-03-06 20:28:29,Yes I know what it is,,,,100% - Drain the account and donate all of it,,Yes I know what it is,,,,1.0,,
2024-03-06 20:28:30,Yes I know what it is,<$50,Less than $10,,100% - Drain the account and donate all of it,,Yes I know what it is,25.0,5.0,,1.0,,
2024-03-06 20:28:32,Yes I know what it is,$200 - $1000,$100 - $1000,,15% of remaining funds,,Yes I know what it is,600.0,550.0,,0.15,,
2024-03-06 20:28:33,I have heard of it,,,$200 - $1000,20% - 50% of remaining funds,,I have heard of it,,,600.0,0.35,,210.0
2024-03-06 20:28:36,Yes I know what it is,$200 - $1000,Less than $10,,5% of remaining funds,,Yes I know what it is,600.0,5.0,,0.05,,
2024-03-06 20:28:37,Yes I know what it is,,,<$50,20% - 50% of remaining funds,,Yes I know what it is,,,25.0,0.35,,8.75
2024-03-06 20:28:38,Yes I know what it is,,,Finished it in residence,,,Yes I know what it is,,,0.0,,,
2024-03-06 20:28:44,Yes I know what it is,,Less than $10,,,,Yes I know what it is,,5.0,,,,
